0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,class
16.67,6.09,371290000,19.37,3421000,1285216,29.1,-1.76,32201224,6.58,11.70166667,20.803,19.1,25.05510669,231.0983734,25360,77.9,1
8.15,14.52,155060000,8.14,3113000,110879,43.7,-0.29,6919180,5.66,36.03461538,53.01896552,27.43333333,62.40297982,397.6374817,5278,75,1
8.72,12.88,302320000,4.69,4414000,93028,43.6,1.24,9728337,3.45,31.86896552,68.30766667,28.66666667,104.5742895,747.5319214,6913,71.4,1
11.35,10.37,11360000,3.29,167000,13812,39.6,-4.95,607414,15.82,20.59,53.43083333,24.86666667,43.97726615,438.997467,420,66.8,1
8.5,10.25,47050000,5.32,806000,51197,43.3,-0.38,3824782,33.28,17.02333333,52.20818182,19.36666667,74.70715081,376.8726807,1690,48.2,1
8.75,10.72,409970000,2.42,5222000,78867,43.3,2.32,10702596,2.8,34.93466667,81.59592593,28.53333333,135.704363,1460.208374,7841,73.8,1
9.1,10.08,165570000,4.9,2511000,49035,41.8,0.2,5436066,5,33.04,64.39894737,22.4,110.8609361,1030.038208,2928,53.7,1
8.68,12.78,107110000,8.91,1656000,56594,43.9,-0.74,4208973,8.07,27.31176471,53.07407407,27.1,74.37136446,843.9278565,2372,56.9,1
8.76,8.85,2060000,6.67,21960,61,45.2,6.38,34467,8.1,52.8475,106.065,22.9,565.0327869,2907.131836,33,97.2,1
13.44,6.8,2989430000,18.37,86621000,8515770,33.2,-0.13,213445417,11.93,15.39541667,45.07809524,22.23333333,25.0647231,353.5392151,182546,86.6,1
8.5,10.34,76750000,1.53,885000,20273,44.9,1.54,2102106,7.64,25.0855,120.0414286,22.5,103.6899324,1570.967896,1135,54.5,1
11.26,10.84,52330000,15.1,686000,69700,38.6,0.06,4933674,11.8,44.685,42.92208333,23.1,70.78441894,123.4146042,2291,58.6,1
8.39,11.99,556070000,9.41,4889000,238391,42.5,-0.2,21230362,3.06,22.85352941,59.08875,24.53333333,89.05689393,547.6779175,10573,54,1
9.42,15.05,102660000,3.66,1333000,65300,44.5,-4.75,2711566,8.4,38.92607143,83.0837931,28.2,41.52474732,822.8288574,1947,67.7,1
11.45,9.48,37310000,12.47,1507000,29743,36.6,-5.43,3011609,18.9,28.15,50.94157895,20.86666667,101.2543792,52.11013412,1853,63.1,1
8.69,10.68,1223460000,4.22,9561000,312685,41.9,-0.33,38185913,5.43,22.55571429,58.96931034,25.56666667,122.122625,695.748169,22885,60.1,1
16.51,5.53,683940000,12.88,19309000,1138910,31.2,-0.6,50355650,10.5,19.23392857,9.589375,22.03333333,44.2138975,367.4957886,39956,80.8,1
15.8,7.36,893310000,9.55,18000000,2780400,32.4,-0.08,45864941,9.84,35.02375,19.21375,28.5,16.49580672,692.6174316,41056,91.9,1
8.96,14.63,56920000,4.93,885000,64589,44.4,-5.32,1862687,6.14,32.82275862,48.393,25.53333333,28.83907477,657.7670288,1315,68.1,1
11.12,8.68,33210000,24.55,629400,5128,37.8,-5.18,1221047,4.9,17.42666667,33.19736842,19.6,238.1136895,553.7059937,730,53.2,1
11.03,9.71,557110000,3.24,4122000,30528,41.6,4.58,11778842,5.36,30.63761905,102.0241667,24.5,385.8373297,3723.067627,11269,98,1
17.29,5.41,2306320000,11.64,50914000,1964375,29.3,-1.46,130207371,3.49,39.41789474,24.5555,28.23333333,66.28437595,260.1742859,104811,80.2,1
16.43,4.84,87980000,23.83,3428000,406752,29.7,-0.07,7272639,5.7,12.6,9.8075,19,17.8797867,175.2063751,4247,61.6,1
8.37,10.7,2322140000,3.14,22920000,301340,46.5,3.21,62390364,9.88,68.69533333,56.0845,22.9,207.0430875,2208.520264,41763,70.4,1
9.23,13.9,516680000,7.44,16033000,603550,41.2,-0.26,43745640,8.89,31.89933333,69.12333333,25.9,72.48055671,109.4968643,30521,69.4,1
15.21,6.35,114970000,12.16,4054000,163610,32.7,-1.34,11811335,15.5,8.828695652,24.43222222,27.16666667,72.19201149,144.3083038,8038,68.9,1
12.92,6.47,445880000,6.68,7249000,756102,35.5,0.33,18307925,7.22,25.13222222,76.95625,28.8,24.2135651,740.006958,15934,87.6,1
7.72,12.05,292400000,3.61,4000000,131957,45.3,0.97,10569703,17.3,49.10551724,47.228,27.36666667,80.09960063,813.7418823,8809,79.1,1
16.71,5.15,182240000,18.55,8086000,283561,28.8,0,17093159,5.71,15.009,18.75521739,19.26666667,60.28035943,268.4172363,10762,63.8,1
14.7,6.1,9460000,26.6,144000,163820,31,0.53,614749,8.9,8.717142857,26.735,26.46666667,3.752588207,312.5957642,375,66.1,1
8.05,9.78,1714860000,3.14,19057000,505370,43.9,1.39,47260584,14.13,35.10793103,45.7625,27.13333333,93.51679759,1926.46106,37267,80.3,1
16.67,5.01,109520000,11.25,1633000,75420,30.1,-0.11,3928646,6.14,13.45357143,19.268,22.53333333,52.09024132,723.1566773,2818,67.7,1
8.02,10.9,331640000,2.53,4717000,92090,44.6,0.62,10263850,6.55,36.44310345,60.28294118,23.16666667,111.4545553,1361.255127,6711,65.2,1
8.74,13.49,125800000,5.67,3000000,77474,43.4,0,6974289,14.1,24.46285714,35.55357143,23.5,90.02102641,366.3521118,4915,56.1,1
